"SREENIDHI UNIVERSITY, Hyderabad
All Departments
Proposed Budget for the Financial Year 2026-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: 07.04.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of the Proposed Budget for the Current year (2026-27) & Expenses for the previous year (2025-26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.N.,Budget Head,,,"Proposed Budget for the current year (2026-27)
(Rs. in Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Actual Expenses in the previous year (2025-26)-
As on date
(Rs. in Lakhs)",Remark
,,,,Apr.-Jun.,,,,,,,Jul.-Sept.,,,,,,Oct.-Dec.,,,,,,Jan.-Mar.,,,,,,,Total,,
,,,,CSE,Chem,EECE,Maths,Eng,Phy,,CSE,EECE,Maths,Eng,Phy,,CSE,EECE,Maths,Eng,Phy,,CSE,Chem,EECE,Maths,Eng,Phy,,,,
1,Laboratory,Non-Recurring,Equipment,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.00,41.00,42.00,,
,,,Others (Specify),,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
,,Recurring,Non-Teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
,,,Others (Specify),,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
15,Health Centre,Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,Not Received
,,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
16,"NSS/YRC/NCC –
Any other Club Activities",Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
,,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
17,Transport Dept. / Vehicles,Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,Not Received
,,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
18,Student Affairs,Non-Recurring,,1,,,,,,,0,,,,,,0,,,,,,0,,,,,,,1,,
,,Recurring,,0.7,,,,,,,0.7,,,,,,0.7,,,,,,0.7,,,,,,,2.8,,
19,Examination Section,Non-Recurring,Equipment,0.93,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.93,,
,,,Others (Specify),0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,,
,,Recurring,Equipment,9.65,,,,,,,0,,,,,,3.05,,,,,,0,,,,,,,12.70,,
,,,Others (Specify),0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,,
20,SDG Impact Prog.,Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,Not Received
,,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
21,CETLI / Academic Planning & Strategy,Non-Recurring,,5,,,,,,,5,,,,,,5,,,,,,5,,,,,,,20.00,,
,,Recurring,,10,,,,,,,10,,,,,,15,,,,,,15,,,,,,,50.00,,
22,SDC,Non-Recurring,,3.14,,,,,,,1.46,,,,,,0.35,,,,,,2.15,,,,,,,7.10,,
,,Recurring,,1.35,,,,,,,1.35,,,,,,1.35,,,,,,1.35,,,,,,,5.40,,
23,Admission Dept.,Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,Not Received
,,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
24,Facilities Dept.,Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,Not Received
,,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
25,International & Industry Relations,Non-Recurring,,0,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0.00,,
,,Recurring,,1.4,,,,,,,1.4,,,,,,1.4,,,,,,1.4,,,,,,,5.60,,
26,Procurement Dept.,Non-Recurring,,0.67,,,,,,,0.67,,,,,,0.67,,,,,,0.67,,,,,,,2.68,2.5,
,,Recurring,,0.15,,,,,,,0.15,,,,,,0.15,,,,,,0.15,,,,,,,0.60,0.27,
27,Accounts Dept.,Non-Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,Not Received
,,Recurring,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
28,Common Functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
29,Common Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
30,Common Academic Expenses,,,0.50,,,,,,,0.50,,,,,,0.50,,,,,,0.50,,,,,,,2.00,,
31,Hostels & other Student Amenities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
32,"Expenses/Maintenance – Electricity, Water, Telephone, etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
33,"Acquisition of Land; & New Buildings & Infrastructural Built – up etc.,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
34,"Softwares / Subscriptions / AMCs etc.,",,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,0.25,,
35,Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119.73,17.64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Projection of Revenue Generation if applicable,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,58,,
Budget Co-Coordinator                                                  Head of the Dept.                                                                           Dean (SoE)                                                                       Registrar                                                                                     Vice-Chancellor                                                                          President,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
